"SUBNATION_NAME","NAME_CATEGORY_DESC","ELCODE","FAMILY","SNAME","SCOMNAME","GNAME","GCOMNAME","S_RANK","N_RANK","G_RANK","ORIGIN_DESC","CURR_PRESENCE_ABSENCE_DESC","EO_TRACK_STATUS_DESC","Scientific Name","English Name","BirdNET"
"Alberta","Vertebrate Animal","ABNYF04040","Picidae","Melanerpes erythrocephalus","Red-headed Woodpecker","Melanerpes erythrocephalus","Red-headed Woodpecker","SNA","N4B,N3M","G5","Native","Unknown/Undetermined","Track on a watch list only","Melanerpes erythrocephalus","Red-headed Woodpecker","Melanerpes erythrocephalus_Red-headed Woodpecker"
"Alberta","Vertebrate Animal","ABPBY01020","Fringillidae","Fringilla montifringilla","Brambling","Fringilla montifringilla","Brambling","SNA","NU","G5","Native","Unknown/Undetermined","Do not track","Fringilla montifringilla","Brambling","Fringilla montifringilla_Brambling"
"Alberta","Vertebrate Animal","ABPBX64020","Cardinalidae","Passerina amoena","Lazuli Bunting","Passerina amoena","Lazuli Bunting","S4B","N5B,N5M","G5","Native","Present","Do not track","Passerina amoena","Lazuli Bunting","Passerina amoena_Lazuli Bunting"
"Alberta","Vertebrate Animal","ABPBX99010","Passerellidae","Passerculus sandwichensis","Savannah Sparrow","Passerculus sandwichensis","Savannah Sparrow","S5B","N5B,N4N,N5M","G5","Native","Present","Do not track","Passerculus sandwichensis","Savannah Sparrow","Passerculus sandwichensis_Savannah Sparrow"
"Alberta","Vertebrate Animal","ABPBM02050","Motacillidae","Anthus rubescens","American Pipit","Anthus rubescens","American Pipit","S4S5B","N5B,N4N,N5M","G5","Native","Present","Do not track","Anthus rubescens","Buff-bellied Pipit","Anthus rubescens_Buff-bellied Pipit"
"Alberta","Vertebrate Animal","ABPBG06130","Troglodytidae","Thryothorus ludovicianus","Carolina Wren","Thryothorus ludovicianus","Carolina Wren","SNA","N4","G5","Native","Unknown/Undetermined","Do not track","Thryothorus ludovicianus","Carolina Wren","Thryothorus ludovicianus_Carolina Wren"
"Alberta","Vertebrate Animal","ABNKD06090","Falconidae","Falco mexicanus","Prairie Falcon","Falco mexicanus","Prairie Falcon","S3B,S4N,S3M","N3B,N4N,N3M","G5","Native","Present","Track on a watch list only","Falco mexicanus","Prairie Falcon","Falco mexicanus_Prairie Falcon"
"Alberta","Vertebrate Animal","AMAFB08040","Sciuridae","Tamiasciurus hudsonicus","Red Squirrel","Tamiasciurus hudsonicus","North American Red Squirrel","S5","N5","G5","Native","Present","Do not track","Tamiasciurus hudsonicus","Red Squirrel","Tamiasciurus hudsonicus_Red Squirrel"
"Alberta","Vertebrate Animal","ABNGA06030","Ardeidae","Egretta thula","Snowy Egret","Egretta thula","Snowy Egret","SNA","N1B,N1M","G5","Native","Unknown/Undetermined","Do not track","Egretta thula","Snowy Egret","Egretta thula_Snowy Egret"
"Alberta","Vertebrate Animal","ABNKC10010","Accipitridae","Haliaeetus leucocephalus","Bald Eagle","Haliaeetus leucocephalus","Bald Eagle","S4B,SUN","N5B,N5N,N5M","G5","Native","Present","Track on a watch list only","Haliaeetus leucocephalus","Bald Eagle","Haliaeetus leucocephalus_Bald Eagle"
"Alberta","Vertebrate Animal","ABNNB03060","Charadriidae","Charadrius semipalmatus","Semipalmated Plover","Charadrius semipalmatus","Semipalmated Plover","SUB","N5B,N5M","G5","Native","Present","Track all extant and selected historical EOs","Charadrius semipalmatus","Semipalmated Plover","Charadrius semipalmatus_Semipalmated Plover"
"Alberta","Vertebrate Animal","ABNSB15010","Strigidae","Aegolius funereus","Boreal Owl","Aegolius funereus","Boreal Owl","S4","N5B,N5N,NUM","G5","Native","Present","Do not track","Aegolius funereus","Tengmalm's Owl","Aegolius funereus_Tengmalm's Owl"
"Alberta","Vertebrate Animal","ABNNF11050","Scolopacidae","Calidris mauri","Western Sandpiper","Calidris mauri","Western Sandpiper","SUM","N1N2N,N4N5M","G5","Native","Present","Do not track","Calidris mauri","Western Sandpiper","Calidris mauri_Western Sandpiper"
"Alberta","Vertebrate Animal","ABNYF10020","Picidae","Colaptes auratus","Northern Flicker","Colaptes auratus","Northern Flicker","S5B,SUN","N5B,N5N,N5M","G5","Native","Present","Do not track","Colaptes auratus","Northern Flicker","Colaptes auratus_Northern Flicker"
"Alberta","Vertebrate Animal","ABNJB21010","Anatidae","Mergus merganser","Common Merganser","Mergus merganser","Common Merganser","S5B","N5B,N5N,N5M","G5","Native","Present","Do not track","Mergus merganser","Goosander","Mergus merganser_Goosander"
"Alberta","Vertebrate Animal","ABNNF09010","Scolopacidae","Arenaria interpres","Ruddy Turnstone","Arenaria interpres","Ruddy Turnstone","SUM","N3B,N5M","G5","Native","Present","Do not track","Arenaria interpres","Ruddy Turnstone","Arenaria interpres_Ruddy Turnstone"
"Alberta","Vertebrate Animal","ABPBX94030","Passerellidae","Spizella pallida","Clay-colored Sparrow","Spizella pallida","Clay-colored Sparrow","S5B","N5B,N5M","G5","Native","Present","Do not track","Spizella pallida","Clay-coloured Sparrow","Spizella pallida_Clay-coloured Sparrow"
"Alberta","Vertebrate Animal","ABNYF05030","Picidae","Sphyrapicus thyroideus","Williamson's Sapsucker","Sphyrapicus thyroideus","Williamson's Sapsucker","SNA","N3B,N3M","G5","Native","Unknown/Undetermined","Do not track","Sphyrapicus thyroideus","Williamson's Sapsucker","Sphyrapicus thyroideus_Williamson's Sapsucker"
"Alberta","Vertebrate Animal","ABNLC09010","Phasianidae","Canachites canadensis","Spruce Grouse","Canachites canadensis","Spruce Grouse","S5","N5","G5","Native","Present","Do not track","Canachites canadensis","Spruce Grouse","Canachites canadensis_Spruce Grouse"
"Alberta","Vertebrate Animal","ABNSB13040","Strigidae","Asio flammeus","Short-eared Owl","Asio flammeus","Short-eared Owl","S3B,SUN","N4B,N3N,N4M","G5","Native","Present","Track all extant and selected historical EOs","Asio flammeus","Short-eared Owl","Asio flammeus_Short-eared Owl"
"Alberta","Vertebrate Animal","ABNGA04010","Ardeidae","Ardea herodias","Great Blue Heron","Ardea herodias","Great Blue Heron","S3B","N5B,N3N,N5M","G5","Native","Present","Track on a watch list only","Ardea herodias","Great Blue Heron","Ardea herodias_Great Blue Heron"
"Alberta","Vertebrate Animal","ABNNF01070","Scolopacidae","Tringa solitaria","Solitary Sandpiper","Tringa solitaria","Solitary Sandpiper","S4B","N5B,N5M","G5","Native","Present","Do not track","Tringa solitaria","Solitary Sandpiper","Tringa solitaria_Solitary Sandpiper"
"Alberta","Vertebrate Animal","ABPBJ18090","Turdidae","Catharus minimus","Gray-cheeked Thrush","Catharus minimus","Gray-cheeked Thrush","SUB","N5B,N5M","G5","Native","Present","Track all extant and selected historical EOs","Catharus minimus","Grey-cheeked Thrush","Catharus minimus_Grey-cheeked Thrush"
"Alberta","Vertebrate Animal","ABPBJ18100","Turdidae","Catharus ustulatus","Swainson's Thrush","Catharus ustulatus","Swainson's Thrush","S5B","N5B,N5M","G5","Native","Present","Do not track","Catharus ustulatus","Swainson's Thrush","Catharus ustulatus_Swainson's Thrush"
"Alberta","Vertebrate Animal","ABNJB10200","Anatidae","Anas platyrhynchos","Mallard","Anas platyrhynchos","Mallard","S5B","N5B,N5N,N5M","G5","Native","Present","Do not track","Anas platyrhynchos","Mallard","Anas platyrhynchos_Mallard"
"Alberta","Vertebrate Animal","ABNNF01020","Scolopacidae","Tringa melanoleuca","Greater Yellowlegs","Tringa melanoleuca","Greater Yellowlegs","S4B,S5M","N5B,N4N,N5M","G5","Native","Present","Do not track","Tringa melanoleuca","Greater Yellowlegs","Tringa melanoleuca_Greater Yellowlegs"
"Alberta","Vertebrate Animal","ABNNM10020","Laridae","Chlidonias niger","Black Tern","Chlidonias niger","Black Tern","S4S5B","N5B,NUN,N5M","G4G5","Native","Present","Track on a watch list only","Chlidonias niger","Black Tern","Chlidonias niger_Black Tern"
"Alberta","Vertebrate Animal","ABPAE33160","Tyrannidae","Empidonax occidentalis","Cordilleran Flycatcher","Empidonax occidentalis","Cordilleran Flycatcher","SUB","N4B,NUM","G5","Native","Present","Track on a watch list only","Empidonax occidentalis","Cordilleran Flycatcher","Empidonax occidentalis_Cordilleran Flycatcher"
"Alberta","Vertebrate Animal","ABNNF08020","Scolopacidae","Limosa haemastica","Hudsonian Godwit","Limosa haemastica","Hudsonian Godwit","SUM","N3N4B,N4N5M","G4","Native","Present","Do not track","Limosa haemastica","Hudsonian Godwit","Limosa haemastica_Hudsonian Godwit"
"Alberta","Vertebrate Animal","ABPBX74080","Passerellidae","Pipilo maculatus","Spotted Towhee","Pipilo maculatus","Spotted Towhee","S4B","N5B,N5M","G5","Native","Present","Do not track","Pipilo maculatus","Spotted Towhee","Pipilo maculatus_Spotted Towhee"
"Alberta","Vertebrate Animal","ABNBA01050","Gaviidae","Gavia pacifica","Pacific Loon","Gavia pacifica","Pacific Loon","SUB","N5B,N3N4N,N5M","G5","Native","Present","Track all extant and selected historical EOs","Gavia pacifica","Pacific Diver","Gavia pacifica_Pacific Diver"
"Alberta","Vertebrate Animal","ABNBA01050","Gaviidae","Gavia pacifica","Pacific Loon","Gavia pacifica","Pacific Loon","SUB","N5B,N3N4N,N5M","G5","Native","Unknown/Undetermined","Track all extant and selected historical EOs","Gavia pacifica","Pacific Diver","Gavia pacifica_Pacific Diver"
"Alberta","Vertebrate Animal","ABNNM08090","Laridae","Sterna forsteri","Forster's Tern","Sterna forsteri","Forster's Tern","S5B","N5B,N5M","G5","Native","Present","Track on a watch list only","Sterna forsteri","Forster's Tern","Sterna forsteri_Forster's Tern"
"Alberta","Vertebrate Animal","ABNJB05010","Anatidae","Branta bernicla","Brant","Branta bernicla","Brant","SNA","N5B,N3N,N5M","G5","Native","Unknown/Undetermined","Do not track","Branta bernicla","Brent Goose","Branta bernicla_Brent Goose"
"Alberta","Vertebrate Animal","ABPAE32050","Tyrannidae","Contopus sordidulus","Western Wood-Pewee","Contopus sordidulus","Western Wood-Pewee","S3S4B","N5B,N4N5M","G5","Native","Present","Track on a watch list only","Contopus sordidulus","Western Wood-Pewee","Contopus sordidulus_Western Wood-Pewee"
"Alberta","Vertebrate Animal","ABNNF11040","Scolopacidae","Calidris pusilla","Semipalmated Sandpiper","Calidris pusilla","Semipalmated Sandpiper","SUM","N3N5B,NUN,N4N5M","G5","Native","Present","Do not track","Calidris pusilla","Semipalmated Sandpiper","Calidris pusilla_Semipalmated Sandpiper"
"Alberta","Vertebrate Animal","ABPBJ05010","Regulidae","Regulus satrapa","Golden-crowned Kinglet","Regulus satrapa","Golden-crowned Kinglet","S5B","N5B,N5N,N5M","G5","Native","Present","Do not track","Regulus satrapa","Golden-crowned Kinglet","Regulus satrapa_Golden-crowned Kinglet"
"Alberta","Vertebrate Animal","ABPBW01210","Vireonidae","Vireo gilvus","Warbling Vireo","Vireo gilvus","Warbling Vireo","S5B","N5B,N5M","G5","Native","Present","Do not track","Vireo gilvus","Warbling Vireo","Vireo gilvus_Warbling Vireo"
"Alberta","Vertebrate Animal","ABNCA02010","Podicipedidae","Podilymbus podiceps","Pied-billed Grebe","Podilymbus podiceps","Pied-billed Grebe","S5B","N5B,N4N5N,N5M","G5","Native","Present","Track on a watch list only","Podilymbus podiceps","Pied-billed Grebe","Podilymbus podiceps_Pied-billed Grebe"
"Alberta","Vertebrate Animal","ABNNF07020","Scolopacidae","Numenius phaeopus","Whimbrel","Numenius phaeopus","Whimbrel","SUM","N4N5B,N4N5M","G5","Native","Present","Do not track","Numenius phaeopus","Whimbrel","Numenius phaeopus_Whimbrel"
"Alberta","Vertebrate Animal","ABPAE33040","Tyrannidae","Empidonax traillii","Willow Flycatcher","Empidonax traillii","Willow Flycatcher","S4B","N5B,N5M","G5","Native","Present","Do not track","Empidonax traillii","Willow Flycatcher","Empidonax traillii_Willow Flycatcher"
"Alberta","Vertebrate Animal","ABNUC45020","Trochilidae","Archilochus alexandri","Black-chinned Hummingbird","Archilochus alexandri","Black-chinned Hummingbird","SNA","N4B,NUM","G5","Native","Unknown/Undetermined","Do not track","Archilochus alexandri","Black-chinned Hummingbird","Archilochus alexandri_Black-chinned Hummingbird"
"Alberta","Vertebrate Animal","ABPAE33080","Tyrannidae","Empidonax hammondii","Hammond's Flycatcher","Empidonax hammondii","Hammond's Flycatcher","S4B,S4M","N5B,N5M","G5","Native","Present","Do not track","Empidonax hammondii","Hammond's Flycatcher","Empidonax hammondii_Hammond's Flycatcher"
"Alberta","Vertebrate Animal","ABPAE52050","Tyrannidae","Tyrannus verticalis","Western Kingbird","Tyrannus verticalis","Western Kingbird","S4S5B","N5B,N5M","G5","Native","Present","Do not track","Tyrannus verticalis","Western Kingbird","Tyrannus verticalis_Western Kingbird"
"Alberta","Vertebrate Animal","ABNNM03120","Laridae","Larus argentatus","Herring Gull","Larus argentatus","Herring Gull","S4B","N5B,N5N,N5M","G5","Native","Present","Do not track","Larus argentatus","Herring Gull","Larus argentatus_Herring Gull"
"Alberta","Vertebrate Animal","ABNJB17020","Anatidae","Melanitta perspicillata","Surf Scoter","Melanitta perspicillata","Surf Scoter","SUB","N5B,N5N,N5M","G5","Native","Present","Track all extant and selected historical EOs","Melanitta perspicillata","Surf Scoter","Melanitta perspicillata_Surf Scoter"
"Alberta","Vertebrate Animal","ABNGE02020","Threskiornithidae","Plegadis chihi","White-faced Ibis","Plegadis chihi","White-faced Ibis","S2B","N2B,N2N,N2M","G5","Native","Present","Track all extant and selected historical EOs","Plegadis chihi","White-faced Ibis","Plegadis chihi_White-faced Ibis"
"Alberta","Vertebrate Animal","ABNME01010","Rallidae","Coturnicops noveboracensis","Yellow Rail","Coturnicops noveboracensis","Yellow Rail","SUB","N4B,NUM","G4","Native","Present","Track all extant and selected historical EOs","Coturnicops noveboracensis","Yellow Rail","Coturnicops noveboracensis_Yellow Rail"
"Alberta","Vertebrate Animal","ABNNF16020","Scolopacidae","Limnodromus scolopaceus","Long-billed Dowitcher","Limnodromus scolopaceus","Long-billed Dowitcher","SUM","N3B,N4N,N5M","G5","Native","Present","Do not track","Limnodromus scolopaceus","Long-billed Dowitcher","Limnodromus scolopaceus_Long-billed Dowitcher"
"Alberta","Vertebrate Animal","ABPBJ08010","Polioptilidae","Polioptila caerulea","Blue-gray Gnatcatcher","Polioptila caerulea","Blue-gray Gnatcatcher","SNA","N4B,N4M","G5","Native","Unknown/Undetermined","Do not track","Polioptila caerulea","Blue-grey Gnatcatcher","Polioptila caerulea_Blue-grey Gnatcatcher"
"Alberta","Vertebrate Animal","ABNNM01030","Stercorariidae","Stercorarius longicaudus","Long-tailed Jaeger","Stercorarius longicaudus","Long-tailed Jaeger","SNA","N5B,N5M","G5","Native","Unknown/Undetermined","Do not track","Stercorarius longicaudus","Long-tailed Skua","Stercorarius longicaudus_Long-tailed Skua"
"Alberta","Vertebrate Animal","ABNJB11040","Anatidae","Aythya collaris","Ring-necked Duck","Aythya collaris","Ring-necked Duck","S5B","N5B,N5N,N5M","G5","Native","Present","Do not track","Aythya collaris","Ring-necked Duck","Aythya collaris_Ring-necked Duck"
"Alberta","Vertebrate Animal","ABPBX95010","Passerellidae","Pooecetes gramineus","Vesper Sparrow","Pooecetes gramineus","Vesper Sparrow","S5B","N5B,N5M","G5","Native","Present","Do not track","Pooecetes gramineus","Vesper Sparrow","Pooecetes gramineus_Vesper Sparrow"
"Alberta","Vertebrate Animal","ABPBXA3010","Passerellidae","Melospiza melodia","Song Sparrow","Melospiza melodia","Song Sparrow","S5B,SUN","N5B,N5N,N5M","G5","Native","Present","Do not track","Melospiza melodia","Song Sparrow","Melospiza melodia_Song Sparrow"
"Alberta","Vertebrate Animal","ABPBY05050","Fringillidae","Loxia curvirostra","Red Crossbill","Loxia curvirostra","Red Crossbill","S5","N5B,N5N,N5M","G5","Native","Present","Do not track","Loxia curvirostra","Common Crossbill","Loxia curvirostra_Common Crossbill"
"Alberta","Vertebrate Animal","ABPBX94040","Passerellidae","Spizella breweri","Brewer's Sparrow","Spizella breweri","Brewer's Sparrow","S4B","N4N5B,N4N5M","G5","Native","Present","Track on a watch list only","Spizella breweri","Brewer's Sparrow","Spizella breweri_Brewer's Sparrow"
"Alberta","Vertebrate Animal","ABNYF05020","Picidae","Sphyrapicus ruber","Red-breasted Sapsucker","Sphyrapicus ruber","Red-breasted Sapsucker","SNA","N5","G5","Native","Unknown/Undetermined","Do not track","Sphyrapicus ruber","Red-breasted Sapsucker","Sphyrapicus ruber_Red-breasted Sapsucker"
"Alberta","Vertebrate Animal","ABNNF11110","Scolopacidae","Calidris fuscicollis","White-rumped Sandpiper","Calidris fuscicollis","White-rumped Sandpiper","S5M","N5B,N5M","G5","Native","Present","Do not track","Calidris fuscicollis","White-rumped Sandpiper","Calidris fuscicollis_White-rumped Sandpiper"
"Alberta","Vertebrate Animal","ABPAU09010","Hirundinidae","Petrochelidon pyrrhonota","Cliff Swallow","Petrochelidon pyrrhonota","Cliff Swallow","S5B","N5B,N5M","G5","Native","Present","Do not track","Petrochelidon pyrrhonota","Cliff Swallow","Petrochelidon pyrrhonota_Cliff Swallow"
"Alberta","Vertebrate Animal","ABNKC12040","Accipitridae","Accipiter cooperii","Cooper's Hawk","Accipiter cooperii","Cooper's Hawk","S4B,SUN","N5B,N5N,N4N5M","G5","Native","Present","Do not track","Accipiter cooperii","Cooper's Hawk","Accipiter cooperii_Cooper's Hawk"
"Alberta","Vertebrate Animal","ABPBX64060","Cardinalidae","Passerina ciris","Painted Bunting","Passerina ciris","Painted Bunting","SNA","NNA","G5","Native","Unknown/Undetermined","Do not track","Passerina ciris","Painted Bunting","Passerina ciris_Painted Bunting"
"Alberta","Vertebrate Animal","ABPBX01020","Parulidae","Vermivora cyanoptera","Blue-winged Warbler","Vermivora cyanoptera","Blue-winged Warbler","SNA","N5B,N5M","G5","Native","Unknown/Undetermined","Do not track","Vermivora cyanoptera","Blue-winged Warbler","Vermivora cyanoptera_Blue-winged Warbler"
"Alberta","Vertebrate Animal","ABNKC22010","Accipitridae","Aquila chrysaetos","Golden Eagle","Aquila chrysaetos","Golden Eagle","S3B,SUN,S4M","N4N5B,N4N5N,N4N5M","G5","Native","Present","Track all extant and selected historical EOs","Aquila chrysaetos","Golden Eagle","Aquila chrysaetos_Golden Eagle"
"Alberta","Vertebrate Animal","ABPBL01010","Prunellidae","Prunella montanella","Siberian Accentor","Prunella montanella","Siberian Accentor","SNA","NNA","G5","Native","Unknown/Undetermined","Do not track","Prunella montanella","Siberian Accentor","Prunella montanella_Siberian Accentor"
"Alberta","Vertebrate Animal","ABNKD06070","Falconidae","Falco peregrinus","Peregrine Falcon","Falco peregrinus","Peregrine Falcon","S1B","N3N4B,N2N,N3N4M","G4","Native","Present","Track all extant and selected historical EOs","Falco peregrinus","Peregrine Falcon","Falco peregrinus_Peregrine Falcon"
"Alberta","Vertebrate Animal","ABPAU01010","Hirundinidae","Progne subis","Purple Martin","Progne subis","Purple Martin","S4B","N5B,N5M","G5","Native","Present","Do not track","Progne subis","Purple Martin","Progne subis_Purple Martin"
"Alberta","Vertebrate Animal","ABNJB15010","Anatidae","Histrionicus histrionicus","Harlequin Duck","Histrionicus histrionicus","Harlequin Duck","S3B,SUN","N4B,N3N,N4M","G4","Native","Present","Track all extant and selected historical EOs","Histrionicus histrionicus","Harlequin Duck","Histrionicus histrionicus_Harlequin Duck"
"Alberta","Vertebrate Animal","ABPBXA2010","Passerellidae","Passerella iliaca","Fox Sparrow","Passerella iliaca","Fox Sparrow","S5B,SUN","N5B,N4N5N,N5M","G5","Native","Present","Do not track","Passerella iliaca","Fox Sparrow","Passerella iliaca_Fox Sparrow"
"Alberta","Vertebrate Animal","ABPBZ01010","Passeridae","Passer domesticus","House Sparrow","Passer domesticus","House Sparrow","SNA","NNA","G5","Exotic","Present","Do not track","Passer domesticus","House Sparrow","Passer domesticus_House Sparrow"
"Alberta","Vertebrate Animal","ABPBY05020","Fringillidae","Loxia leucoptera","White-winged Crossbill","Loxia leucoptera","White-winged Crossbill","S5","N5B,N5N,N5M","G5","Native","Present","Do not track","Loxia leucoptera","Two-barred Crossbill","Loxia leucoptera_Two-barred Crossbill"
"Alberta","Vertebrate Animal","ABPBXA3020","Passerellidae","Melospiza lincolnii","Lincoln's Sparrow","Melospiza lincolnii","Lincoln's Sparrow","S5B","N5B,N5N,N5M","G5","Native","Present","Do not track","Melospiza lincolnii","Lincoln's Sparrow","Melospiza lincolnii_Lincoln's Sparrow"
"Alberta","Vertebrate Animal","ABPBK04010","Mimidae","Oreoscoptes montanus","Sage Thrasher","Oreoscoptes montanus","Sage Thrasher","SUB","N1B,N1M","G4","Native","Present","Track all extant and selected historical EOs","Oreoscoptes montanus","Sage Thrasher","Oreoscoptes montanus_Sage Thrasher"
"Alberta","Vertebrate Animal","ABNUC10020","Trochilidae","Colibri thalassinus","Green Violet-ear","Colibri thalassinus","Green Violetear","SNA","NNA","G5","Native","Unknown/Undetermined","Do not track","Colibri thalassinus","Mexican Violetear","Colibri thalassinus_Mexican Violetear"
"Alberta","Vertebrate Animal","ABPBX74030","Passerellidae","Pipilo erythrophthalmus","Eastern Towhee","Pipilo erythrophthalmus","Eastern Towhee","SNA","N4N5B,N4M","G5","Native","Unknown/Undetermined","Do not track","Pipilo erythrophthalmus","Eastern Towhee","Pipilo erythrophthalmus_Eastern Towhee"
"Alberta","Vertebrate Animal","ABNCA03030","Podicipedidae","Podiceps nigricollis","Eared Grebe","Podiceps nigricollis","Eared Grebe","S5B","N5B,NUN,N5M","G5","Native","Present","Do not track","Podiceps nigricollis","Black-necked Grebe","Podiceps nigricollis_Black-necked Grebe"
"Alberta","Vertebrate Animal","ABNSB10010","Strigidae","Athene cunicularia","Burrowing Owl","Athene cunicularia","Burrowing Owl","S2B","N1N2B,N1N2M","G4","Native","Present","Track all extant and selected historical EOs","Athene cunicularia","Burrowing Owl","Athene cunicularia_Burrowing Owl"
"Alberta","Vertebrate Animal","ABPBX94050","Passerellidae","Spizella pusilla","Field Sparrow","Spizella pusilla","Field Sparrow","SNA","N4B,NUM","G5","Native","Unknown/Undetermined","Do not track","Spizella pusilla","Field Sparrow","Spizella pusilla_Field Sparrow"
"Alberta","Vertebrate Animal","ABPAV10110","Corvidae","Corvus corax","Common Raven","Corvus corax","Common Raven","S5","N5","G5","Native","Present","Do not track","Corvus corax","Common Raven","Corvus corax_Common Raven"
"Alberta","Vertebrate Animal","ABPBX60010","Cardinalidae","Cardinalis cardinalis","Northern Cardinal","Cardinalis cardinalis","Northern Cardinal","SNA","N5","G5","Native","Unknown/Undetermined","Do not track","Cardinalis cardinalis","Northern Cardinal","Cardinalis cardinalis_Northern Cardinal"
"Alberta","Vertebrate Animal","ABNNB03010","Charadriidae","Charadrius mongolus","Mongolian Plover","Charadrius mongolus","Lesser Sand-Plover","SNA","NNA","G4G5","Native","Unknown/Undetermined","Do not track","Charadrius mongolus","Lesser Sand-Plover","Charadrius mongolus_Lesser Sand-Plover"
"Alberta","Vertebrate Animal","ABPBXA4030","Passerellidae","Zonotrichia atricapilla","Golden-crowned Sparrow","Zonotrichia atricapilla","Golden-crowned Sparrow","S3B","N5B,N5?N,NUM","G5","Native","Present","Do not track","Zonotrichia atricapilla","Golden-crowned Sparrow","Zonotrichia atricapilla_Golden-crowned Sparrow"
"Alberta","Vertebrate Animal","ABPBJ16010","Turdidae","Myadestes townsendi","Townsend's Solitaire","Myadestes townsendi","Townsend's Solitaire","S4B,SUN","N5B,NUN,N5M","G5","Native","Present","Do not track","Myadestes townsendi","Townsend's Solitaire","Myadestes townsendi_Townsend's Solitaire"
"Alberta","Vertebrate Animal","ABNNM06010","Laridae","Xema sabini","Sabine's Gull","Xema sabini","Sabine's Gull","SUM","N4N5B,N4N,N5M","G5","Native","Present","Do not track","Xema sabini","Sabine's Gull","Xema sabini_Sabine's Gull"
"Alberta","Vertebrate Animal","ABNLC12010","Phasianidae","Centrocercus urophasianus","Greater Sage-Grouse","Centrocercus urophasianus","Greater Sage-Grouse","S1","N1","G3G4","Native","Present","Track all extant and selected historical EOs","Centrocercus urophasianus","Greater Sage-Grouse","Centrocercus urophasianus_Greater Sage-Grouse"
"Alberta","Vertebrate Animal","ABNNF18030","Scolopacidae","Gallinago delicata","Wilson's Snipe","Gallinago delicata","Wilson's Snipe","S5B","N5B,N5M","G5","Native","Present","Do not track","Gallinago delicata","Wilson's Snipe","Gallinago delicata_Wilson's Snipe"
"Alberta","Vertebrate Animal","ABNJB22010","Anatidae","Oxyura jamaicensis","Ruddy Duck","Oxyura jamaicensis","Ruddy Duck","S5B","N5B,N5N,N5M","G5","Native","Present","Do not track","Oxyura jamaicensis","Ruddy Duck","Oxyura jamaicensis_Ruddy Duck"
"Alberta","Vertebrate Animal","ABNKC19050","Accipitridae","Buteo platypterus","Broad-winged Hawk","Buteo platypterus","Broad-winged Hawk","S3B","N5B,N5M","G5","Native","Present","Track on a watch list only","Buteo platypterus","Broad-winged Hawk","Buteo platypterus_Broad-winged Hawk"
"Alberta","Vertebrate Animal","ABPBY03010","Fringillidae","Pinicola enucleator","Pine Grosbeak","Pinicola enucleator","Pine Grosbeak","S4","N5B,N5N,N5M","G5","Native","Present","Do not track","Pinicola enucleator","Pine Grosbeak","Pinicola enucleator_Pine Grosbeak"
"Alberta","Vertebrate Animal","ABNJB03040","Anatidae","Anser albifrons","Greater White-fronted Goose","Anser albifrons","Greater White-fronted Goose","S5M","N5B","G5","Native","Present","Do not track","Anser albifrons","Greater White-fronted Goose","Anser albifrons_Greater White-fronted Goose"
"Alberta","Vertebrate Animal","ABPBJ18110","Turdidae","Catharus guttatus","Hermit Thrush","Catharus guttatus","Hermit Thrush","S5B","N5B,NUN,N5M","G5","Native","Present","Do not track","Catharus guttatus","Hermit Thrush","Catharus guttatus_Hermit Thrush"
"Alberta","Vertebrate Animal","ABNKA02010","Cathartidae","Cathartes aura","Turkey Vulture","Cathartes aura","Turkey Vulture","S2S3B","N5B,N5M","G5","Native","Present","Track all extant and selected historical EOs","Cathartes aura","Turkey Vulture","Cathartes aura_Turkey Vulture"
"Alberta","Vertebrate Animal","ABNNM01020","Stercorariidae","Stercorarius parasiticus","Parasitic Jaeger","Stercorarius parasiticus","Parasitic Jaeger","SNA","N5B,NUN,N5M","G5","Native","Present","Do not track","Stercorarius parasiticus","Arctic Skua","Stercorarius parasiticus_Arctic Skua"
"Alberta","Vertebrate Animal","ABPAE52100","Tyrannidae","Tyrannus forficatus","Scissor-tailed Flycatcher","Tyrannus forficatus","Scissor-tailed Flycatcher","SNA","NNA","G5","Native","Unknown/Undetermined","Do not track","Tyrannus forficatus","Scissor-tailed Flycatcher","Tyrannus forficatus_Scissor-tailed Flycatcher"
"Alberta","Vertebrate Animal","ABPBX11020","Parulidae","Oporornis agilis","Connecticut Warbler","Oporornis agilis","Connecticut Warbler","S4B","N5B,N4N5M","G4G5","Native","Present","Do not track","Oporornis agilis","Connecticut Warbler","Oporornis agilis_Connecticut Warbler"
"Alberta","Vertebrate Animal","ABNNM03190","Laridae","Larus glaucescens","Glaucous-winged Gull","Larus glaucescens","Glaucous-winged Gull","SNA","N4B,N4N5N,N4N5M","G5","Native","Unknown/Undetermined","Do not track","Larus glaucescens","Glaucous-winged Gull","Larus glaucescens_Glaucous-winged Gull"
"Alberta","Vertebrate Animal","ABNNB02010","Charadriidae","Pluvialis squatarola","Black-bellied Plover","Pluvialis squatarola","Black-bellied Plover","SUM","N3B,N5N,N5M","G5","Native","Present","Do not track","Pluvialis squatarola","Grey Plover","Pluvialis squatarola_Grey Plover"
"Alberta","Vertebrate Animal","ABNNM03200","Laridae","Larus hyperboreus","Glaucous Gull","Larus hyperboreus","Glaucous Gull","SUM","N4N5B,N5N,N5M","G5","Native","Present","Do not track","Larus hyperboreus","Glaucous Gull","Larus hyperboreus_Glaucous Gull"
